Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...It.is.important.to.me.to.physically.check.out.items.before.buying.them..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...In.store.grocery.shopping.is.fun..,wfh_during,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.food.for.pick.up.delivery.from.a.restaurant..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Personal.space.is.important.to.me.when.I.travel..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.makes.me.less.disciplined.self.controlled..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Ferry.or.Water.Taxi.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.increases.family.conflicts..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.groceries.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.prefer.buying.groceries.online.rather.than.going.to.the.store..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.concerned.that.friends.or.family.will.experience.serious.health.issues.if.they.catch.the.coronavirus..,transit_usage_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.perform.better.when.I.interact.with.my.co.workers.in.person..,age,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.groceries..,education,hh_size,transit_usage_during,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.Ridehail..e.g..UberPool..Lyft.Shared..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Walk.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.bike.or.scooter..Lime..JUMP..etc...,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Everyone.should.stay.at.home.as.much.as.possible.until.the.coronavirus.has.subsided..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Even.if.I.don.t.end.up.buying.anything..I.still.enjoy.going.to.stores.and.browsing..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Solo.Ridehail..UberX..Lyft..or.Taxi.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.like.to.share.rides.with.others.if.it.saves.money..,gender,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Physical.distancing.is.an.efficient.approach.for.controlling.the.coronavirus.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Media.is.exaggerating.the.spread.of.the.coronavirus..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.try.to.use.transportation.options.that.allow.me.to.avoid.contact.with.other.people..,What.is.your.home.ZIP.code.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.miss.my.commute..,Waves,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Traveling.by.bus.or.light.rail.poses.a.risk.to.my.health..,Timestamp,Are.you.employed.in.one.of.the.following.industries.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.enjoy.social.interactions.with.my.colleagues..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.other.items.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shopping.online.is.convenient..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.can.efficiently.replace.most.of.my.in.person.work.meetings.with.online.meetings.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...My.friends.and.family.expect.me.to.stay.at.home.until.the.coronavirus.subsides..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.travel.on.a.bus.or.light.rail.if.physical.distancingÂ.measures.are.enforced..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......eat.a.meal.in.a.restaurant..,annual_hh_income,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.comfortable.sharing.a.ride.with.a.stranger..,job_status,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.other.items..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Eating.in.restaurants.is.a.fun.leisure.activity..,user_id,Have.you.had.COVID.19.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Wearing.face.covering.should.be.mandatory..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Drive.Alone.,wfh_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.don.t.mind.traveling.on.a.crowded.bus..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Carpool.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Bike.or.Scooter.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shutting.down.businesses.to.prevent.the.spread.of.the.coronavirus.is.not.worth.the.economic.damage.that.it.causes..
Agree,Strongly agree,Everyday,1-2 days a week,Strongly agree,Strongly disagree,A few times a month,Strongly disagree,A few times a month,Strongly agree,Strongly agree,A few times a month,Agree,37.0,A few times a month,"4-year college degree (e.g. BA, BS)",None of the above,Once a month or less,Never,Everyday,Never,Strongly agree,Strongly agree,A few times a month,Disagree,Male,Strongly agree,Strongly agree,Strongly agree,98121.0,Strongly disagree,W1,Strongly agree,2020/07/05 10:26:45 AM MDT,"No, none of the above",Agree,A few times a month,Strongly agree,Strongly agree,Strongly agree,Agree,1-2 days a week,"$75,000 to $99,999",Somewhat agree,"Employed, Full time",1-2 days a week,Strongly agree,192277,"I don't believe so, but I haven't been tested for it.",Strongly agree,Never,1-2 days a week,Strongly disagree,Never,Never,Strongly agree
Somewhat agree,Somewhat agree,Never,Once a month or less,Agree,Somewhat disagree,Once a month or less,Disagree,Once a month or less,Somewhat disagree,Strongly agree,Once a month or less,Somewhat agree,69.0,Everyday,"4-year college degree (e.g. BA, BS)",Husband/wife/partner,Never,Never,Everyday,Never,Agree,Somewhat disagree,Once a month or less,Somewhat disagree,Female,Strongly agree,Strongly disagree,Strongly agree,98042.0,Somewhat disagree,"W1, W2P, W3P",Agree,2020/07/04 9:23:07 AM MDT,,Strongly agree,Once a month or less,Somewhat disagree,Somewhat agree,Agree,Disagree,1-2 days a week,"$100,000 to $149,999",Strongly disagree,Retired,1-2 days a week,Strongly disagree,190908,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,Never,Disagree,Never,Never,Disagree
Somewhat agree,Disagree,Everyday,A few times a month,Agree,Agree,Never,Somewhat agree,Once a month or less,Agree,Strongly agree,A few times a month,Agree,50.0,A few times a month,"Professional degree (e.g. MD, JD)",Husband/wife/partner;Children aged 12-17;Children aged 18 or more;Cat or Dog,Never,Never,Never,Never,Strongly agree,Strongly disagree,Never,Disagree,Male,Strongly agree,Strongly disagree,Agree,98033.0,Disagree,W1,Somewhat disagree,2020/07/01 5:24:37 PM MDT,"No, none of the above",Strongly agree,A few times a month,Agree,Strongly agree,Strongly agree,Somewhat agree,A few times a month,"$100,000 to $149,999",Somewhat disagree,"Employed, Full time",A few times a month,Somewhat agree,192278,"I don't believe so, but I haven't been tested for it.",Strongly agree,Once a month or less,Everyday,Somewhat disagree,Never,Never,Somewhat disagree
Somewhat agree,Disagree,Never,A few times a month,Strongly agree,Somewhat agree,Once a month or less,Somewhat agree,Never,Disagree,Strongly agree,Once a month or less,Agree,65.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)",Husband/wife/partner,Never,Never,Once a month or less,Never,Agree,Disagree,Never,Disagree,Female,Somewhat agree,Strongly disagree,Agree,98371.0,Somewhat disagree,W1,Somewhat agree,2020/06/29 2:24:51 PM MDT,,Agree,Never,Somewhat agree,Somewhat disagree,Agree,Agree,1-2 days a week,Prefer not to answer,Disagree,Retired,Once a month or less,Agree,192279,"I don't believe so, but I haven't been tested for it.",Strongly agree,3-4 days a week,Never,Strongly disagree,Once a month or less,Never,Somewhat disagree
Strongly agree,Strongly agree,Never,Never,Strongly agree,Somewhat disagree,Once a month or less,Somewhat agree,Never,Somewhat agree,Strongly agree,Once a month or less,Somewhat disagree,60.0,Never,Some college/technical school training,Husband/wife/partner,Never,Never,Never,Never,Strongly agree,Strongly agree,Never,Somewhat agree,Female,Strongly agree,Somewhat agree,Disagree,98366.0,Disagree,W1,Strongly agree,2020/06/30 8:45:50 PM MDT,Medical,Somewhat disagree,Never,Agree,Disagree,Somewhat agree,Strongly agree,A few times a month,"$35,000 to $49,999",Disagree,"Employed, Full time",1-2 days a week,Strongly agree,192280,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,Never,Strongly disagree,Never,Never,Strongly agree
Strongly disagree,Strongly disagree,Everyday,1-2 days a week,Strongly agree,Strongly disagree,Once a month or less,Strongly disagree,1-2 days a week,Strongly agree,Strongly agree,Never,Strongly disagree,47.0,Never,"4-year college degree (e.g. BA, BS)",Husband/wife/partner;Children aged 12-17;Children aged 18 or more;Cat or Dog,Never,Never,Once a month or less,Never,Somewhat agree,Disagree,Once a month or less,Disagree,Female,Strongly agree,Disagree,Strongly agree,98077.0,Strongly disagree,W1,Agree,2020/07/07 3:53:12 PM MDT,Building maintenance and repair,Strongly disagree,1-2 days a week,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Once a month or less,"$200,000 or more",Strongly disagree,"Employed, Full time",Once a month or less,Agree,192281,"I don't believe so, but I haven't been tested for it.",Strongly agree,3-4 days a week,Everyday,Strongly disagree,1-2 days a week,Once a month or less,Somewhat agree
Somewhat agree,Somewhat disagree,Everyday,1-2 days a week,Agree,Somewhat agree,Never,Somewhat disagree,Once a month or less,Disagree,Agree,Once a month or less,Somewhat agree,51.0,1-2 days a week,"4-year college degree (e.g. BA, BS)",Husband/wife/partner,Never,Never,A few times a month,Never,Agree,Somewhat disagree,Once a month or less,Somewhat disagree,Female,Agree,Somewhat disagree,Somewhat agree,98409.0,Strongly disagree,W1,Somewhat agree,2020/06/30 6:52:58 AM MDT,"No, none of the above",Agree,A few times a month,Agree,Somewhat agree,Agree,Somewhat disagree,1-2 days a week,"$150,000 to $199,999",Somewhat agree,"Employed, Full time",A few times a month,Somewhat disagree,192282,"I believe so, but I haven't been tested for it.",Agree,3-4 days a week,1-2 days a week,Somewhat disagree,Never,Never,Somewhat agree
Disagree,Somewhat agree,Everyday,A few times a month,Strongly agree,Disagree,Never,Strongly disagree,Once a month or less,Strongly agree,Somewhat agree,1-2 days a week,Somewhat disagree,50.0,1-2 days a week,"4-year college degree (e.g. BA, BS)",Husband/wife/partner,Never,Never,Never,Never,Strongly agree,Disagree,Never,Strongly disagree,Female,Strongly agree,Disagree,Strongly agree,98166.0,Strongly disagree,W1,Strongly agree,2020/06/29 2:51:43 PM MDT,"No, none of the above",Somewhat agree,1-2 days a week,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,A few times a month,"$150,000 to $199,999",Strongly disagree,"Employed, Full time",A few times a month,Disagree,192283,"I don't believe so, but I haven't been tested for it.",Strongly agree,A few times a month,3-4 days a week,Strongly disagree,Never,Never,Disagree
Disagree,Strongly disagree,Never,Never,Agree,Agree,A few times a month,Agree,Never,Disagree,Agree,Never,Agree,53.0,Everyday,"4-year college degree (e.g. BA, BS)",Husband/wife/partner;Children aged 6-11;Cat or Dog,Never,Never,3-4 days a week,Never,Disagree,Strongly disagree,Once a month or less,Disagree,Female,Agree,Disagree,Agree,98110.0,Disagree,W1,Agree,2020/06/30 7:03:36 AM MDT,,Disagree,A few times a month,Agree,Somewhat agree,Disagree,Disagree,1-2 days a week,Prefer not to answer,Disagree,Retired,3-4 days a week,Disagree,192284,"I believe so, but I haven't been tested for it.",Agree,Everyday,Never,Disagree,Never,Never,Somewhat agree
Somewhat disagree,Somewhat disagree,Everyday,Once a month or less,Somewhat agree,Disagree,Never,Disagree,Once a month or less,Somewhat agree,Agree,A few times a month,Strongly disagree,38.0,A few times a month,"4-year college degree (e.g. BA, BS)",Husband/wife/partner;Children aged 3-5;Children aged 6-11;Cat or Dog,Never,Once a month or less,Once a month or less,Never,Agree,Strongly disagree,Never,Somewhat disagree,Male,Strongly agree,Strongly disagree,Strongly agree,98208.0,Strongly disagree,W1,Agree,2020/06/30 11:45:33 PM MDT,"No, none of the above",Somewhat agree,1-2 days a week,Strongly agree,Agree,Somewhat agree,Somewhat agree,Once a month or less,"$75,000 to $99,999",Strongly disagree,"Employed, Full time",A few times a month,Agree,192285,"I don't believe so, but I haven't been tested for it.",Agree,Once a month or less,3-4 days a week,Strongly disagree,Never,Never,Somewhat disagree
Somewhat disagree,Somewhat disagree,Everyday,1-2 days a week,Agree,Strongly agree,Never,Disagree,Never,Disagree,Strongly agree,Never,Strongly agree,42.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)",Husband/wife/partner;Children aged 12-17;Cat or Dog,Never,Never,Once a month or less,Never,Strongly agree,Somewhat agree,Once a month or less,Strongly disagree,Female,Agree,Somewhat agree,Agree,98146.0,Disagree,W1,Agree,2020/06/30 7:11:06 AM MDT,"No, none of the above",Strongly agree,1-2 days a week,Agree,Strongly disagree,Agree,Disagree,1-2 days a week,"$100,000 to $149,999",Strongly disagree,"Employed, Full time",1-2 days a week,Strongly disagree,192286,"No, I have tested negative.",Strongly agree,Everyday,Never,Strongly disagree,3-4 days a week,Once a month or less,Agree
Agree,Somewhat agree,Everyday,A few times a month,Strongly agree,Strongly agree,Never,Strongly agree,Once a month or less,Somewhat agree,Agree,Never,Agree,55.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)","Husband/wife/partner;Children aged 18 or more;Cat or Dog;Non-household members (e.g. relatives, roommates)",Never,Never,Everyday,Never,Strongly agree,Agree,Never,Somewhat disagree,Female,Agree,Disagree,Strongly agree,98366.0,Disagree,W1,Agree,2020/06/30 11:10:50 PM MDT,"No, none of the above",Agree,A few times a month,Somewhat agree,Disagree,Agree,Somewhat agree,1-2 days a week,"$100,000 to $149,999",Somewhat disagree,"Employed, Part time",1-2 days a week,Agree,192287,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,Never,Somewhat agree,Never,Never,Disagree
