Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.comfortable.sharing.a.ride.with.a.stranger..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.like.to.share.rides.with.others.if.it.saves.money..,hh_size,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Everyone.should.stay.at.home.as.much.as.possible.until.the.coronavirus.has.subsided..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.miss.my.commute..,transit_usage_during,education,user_id,age,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Walk.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.other.items..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.travel.on.a.bus.or.light.rail.if.physical.distancingÂ.measures.are.enforced..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Eating.in.restaurants.is.a.fun.leisure.activity..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.Ridehail..e.g..UberPool..Lyft.Shared..,gender,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.increases.family.conflicts..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.can.efficiently.replace.most.of.my.in.person.work.meetings.with.online.meetings.,What.is.your.home.ZIP.code.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shutting.down.businesses.to.prevent.the.spread.of.the.coronavirus.is.not.worth.the.economic.damage.that.it.causes..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.bike.or.scooter..Lime..JUMP..etc...,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.don.t.mind.traveling.on.a.crowded.bus..,job_status,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.perform.better.when.I.interact.with.my.co.workers.in.person..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Physical.distancing.is.an.efficient.approach.for.controlling.the.coronavirus.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Bike.or.Scooter.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.groceries..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.other.items.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...In.store.grocery.shopping.is.fun..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.try.to.use.transportation.options.that.allow.me.to.avoid.contact.with.other.people..,Timestamp,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...My.friends.and.family.expect.me.to.stay.at.home.until.the.coronavirus.subsides..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Even.if.I.don.t.end.up.buying.anything..I.still.enjoy.going.to.stores.and.browsing..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.groceries.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Traveling.by.bus.or.light.rail.poses.a.risk.to.my.health..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Ferry.or.Water.Taxi.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......eat.a.meal.in.a.restaurant..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Drive.Alone.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Wearing.face.covering.should.be.mandatory..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Solo.Ridehail..UberX..Lyft..or.Taxi.,Have.you.had.COVID.19.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...It.is.important.to.me.to.physically.check.out.items.before.buying.them..,wfh_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shopping.online.is.convenient..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.makes.me.less.disciplined.self.controlled..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Carpool.,annual_hh_income,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.food.for.pick.up.delivery.from.a.restaurant..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Personal.space.is.important.to.me.when.I.travel..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.enjoy.social.interactions.with.my.colleagues..,Are.you.employed.in.one.of.the.following.industries.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.prefer.buying.groceries.online.rather.than.going.to.the.store..,Waves,transit_usage_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Media.is.exaggerating.the.spread.of.the.coronavirus..,wfh_during,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.concerned.that.friends.or.family.will.experience.serious.health.issues.if.they.catch.the.coronavirus..,annual_hh_income_avg,income_category,Low_Income,Middle_Income,High_Income,wfh_during_ord,wfh_future_ord,transit_usage_during_ord,transit_usage_future_ord,wfh_future_interval,wfh_change_estimated,transit_change_estimated,transit_usage_future_ordered
Somewhat agree,Disagree,1,Strongly agree,Strongly disagree,Once a month or less,"4-year college degree (e.g. BA, BS)",192277,37.0,Everyday,1-2 days a week,Agree,Strongly agree,Never,Male,Strongly disagree,Strongly agree,98121.0,Strongly agree,Never,Strongly disagree,"Employed, Full time",Agree,Strongly agree,Never,A few times a month,A few times a month,Strongly agree,Strongly agree,2020/07/05 10:26:45 AM MDT,Strongly agree,Strongly agree,A few times a month,Strongly agree,A few times a month,1-2 days a week,Never,Strongly agree,A few times a month,"I don't believe so, but I haven't been tested for it.",Agree,1-2 days a week,Strongly agree,Strongly disagree,Never,"$75,000 to $99,999",1-2 days a week,Strongly agree,Agree,"No, none of the above",Strongly agree,W1,A few times a month,Strongly agree,Everyday,Strongly agree,87499.5,Middle,0,1,0,5,3,1,2,1.5,Decreased WFH,Increased Transit,A few times a month
Strongly disagree,Somewhat disagree,1,Agree,Somewhat disagree,Never,"4-year college degree (e.g. BA, BS)",190908,69.0,Everyday,1-2 days a week,Disagree,Strongly disagree,Never,Female,Disagree,Somewhat agree,98042.0,Disagree,Never,Disagree,Retired,Somewhat agree,Strongly agree,Never,Everyday,Once a month or less,Somewhat agree,Strongly agree,2020/07/04 9:23:07 AM MDT,Agree,Somewhat disagree,Once a month or less,Agree,Once a month or less,1-2 days a week,Everyday,Strongly agree,Once a month or less,"I don't believe so, but I haven't been tested for it.",Somewhat agree,Never,Somewhat disagree,Somewhat disagree,Never,"$100,000 to $149,999",Once a month or less,Agree,Strongly agree,,Somewhat disagree,"W1, W2P, W3P",Once a month or less,Strongly disagree,Never,Strongly agree,124999.5,High,0,0,1,0,0,0,1,0.0,No Change,Increased Transit,Once a month or less
Somewhat disagree,Disagree,3,Strongly agree,Disagree,Never,"Professional degree (e.g. MD, JD)",192278,50.0,Never,A few times a month,Somewhat agree,Somewhat agree,Never,Male,Somewhat agree,Strongly agree,98033.0,Somewhat disagree,Never,Somewhat disagree,"Employed, Full time",Agree,Strongly agree,Never,A few times a month,A few times a month,Disagree,Agree,2020/07/01 5:24:37 PM MDT,Strongly agree,Strongly disagree,Once a month or less,Somewhat disagree,Never,A few times a month,Once a month or less,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Somewhat agree,Everyday,Agree,Agree,Never,"$100,000 to $149,999",A few times a month,Agree,Strongly agree,"No, none of the above",Agree,W1,A few times a month,Strongly disagree,Everyday,Strongly agree,124999.5,Middle,0,1,0,5,5,0,2,5.0,No Change,Increased Transit,A few times a month
Disagree,Disagree,1,Agree,Somewhat disagree,Never,"Graduate degree (e.g. MS, PhD, MBA)",192279,65.0,Once a month or less,Once a month or less,Agree,Agree,Never,Female,Somewhat agree,Somewhat disagree,98371.0,Somewhat disagree,Never,Strongly disagree,Retired,Agree,Somewhat agree,Never,1-2 days a week,Never,Disagree,Agree,2020/06/29 2:24:51 PM MDT,Agree,Disagree,Never,Somewhat agree,Once a month or less,1-2 days a week,3-4 days a week,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Somewhat agree,Never,Somewhat agree,Somewhat agree,Once a month or less,Prefer not to answer,A few times a month,Strongly agree,Agree,,Disagree,W1,Once a month or less,Strongly disagree,Never,Strongly agree,,Middle,0,1,0,0,0,0,1,0.0,No Change,Increased Transit,Once a month or less
Disagree,Somewhat agree,1,Strongly agree,Disagree,Never,Some college/technical school training,192280,60.0,Never,1-2 days a week,Strongly agree,Strongly agree,Never,Female,Somewhat agree,Disagree,98366.0,Strongly agree,Never,Strongly disagree,"Employed, Full time",Somewhat disagree,Strongly agree,Never,Never,Never,Strongly agree,Disagree,2020/06/30 8:45:50 PM MDT,Somewhat agree,Strongly agree,Never,Strongly agree,Once a month or less,A few times a month,Everyday,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Strongly agree,Never,Agree,Somewhat disagree,Never,"$35,000 to $49,999",Never,Strongly agree,Somewhat disagree,Medical,Somewhat agree,W1,Once a month or less,Somewhat agree,Never,Strongly agree,42499.5,Middle,0,1,0,0,0,0,1,0.0,No Change,Increased Transit,Once a month or less
Strongly disagree,Disagree,3,Somewhat agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192281,47.0,Once a month or less,Once a month or less,Somewhat agree,Agree,Never,Female,Strongly disagree,Somewhat agree,98077.0,Somewhat agree,Never,Strongly disagree,"Employed, Full time",Strongly disagree,Strongly agree,Once a month or less,Never,1-2 days a week,Strongly disagree,Strongly agree,2020/07/07 3:53:12 PM MDT,Somewhat agree,Disagree,1-2 days a week,Agree,Once a month or less,Once a month or less,3-4 days a week,Strongly agree,Once a month or less,"I don't believe so, but I haven't been tested for it.",Strongly disagree,Everyday,Strongly agree,Strongly disagree,1-2 days a week,"$200,000 or more",1-2 days a week,Strongly agree,Strongly disagree,Building maintenance and repair,Strongly agree,W1,Never,Disagree,Everyday,Strongly agree,200000.0,High,0,0,1,5,5,0,0,5.0,No Change,No Change,Never
Somewhat agree,Somewhat disagree,1,Agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192282,51.0,A few times a month,A few times a month,Somewhat disagree,Somewhat disagree,Never,Female,Somewhat disagree,Somewhat agree,98409.0,Somewhat agree,Never,Somewhat disagree,"Employed, Full time",Somewhat agree,Agree,Never,1-2 days a week,A few times a month,Somewhat disagree,Somewhat agree,2020/06/30 6:52:58 AM MDT,Agree,Somewhat disagree,Once a month or less,Somewhat agree,Never,1-2 days a week,3-4 days a week,Agree,Once a month or less,"I believe so, but I haven't been tested for it.",Somewhat agree,1-2 days a week,Agree,Somewhat agree,Never,"$150,000 to $199,999",1-2 days a week,Agree,Agree,"No, none of the above",Disagree,W1,Once a month or less,Somewhat disagree,Everyday,Agree,174999.5,High,0,0,1,5,3,0,1,1.5,Decreased WFH,Increased Transit,Once a month or less
Strongly disagree,Strongly disagree,1,Strongly agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192283,50.0,Never,A few times a month,Somewhat agree,Disagree,Never,Female,Strongly disagree,Agree,98166.0,Disagree,Never,Strongly disagree,"Employed, Full time",Somewhat disagree,Strongly agree,Never,1-2 days a week,1-2 days a week,Somewhat agree,Strongly agree,2020/06/29 2:51:43 PM MDT,Somewhat disagree,Disagree,Once a month or less,Strongly agree,Never,A few times a month,A few times a month,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Disagree,3-4 days a week,Somewhat agree,Disagree,Never,"$150,000 to $199,999",A few times a month,Strongly agree,Somewhat agree,"No, none of the above",Strongly agree,W1,1-2 days a week,Disagree,Everyday,Somewhat agree,174999.5,High,0,0,1,5,4,0,3,3.5,Decreased WFH,Increased Transit,1-2 days a week
Disagree,Disagree,2,Disagree,Disagree,Never,"4-year college degree (e.g. BA, BS)",192284,53.0,3-4 days a week,3-4 days a week,Disagree,Disagree,Never,Female,Agree,Somewhat agree,98110.0,Somewhat agree,Never,Disagree,Retired,Agree,Agree,Never,Everyday,A few times a month,Strongly disagree,Agree,2020/06/30 7:03:36 AM MDT,Disagree,Strongly disagree,Never,Agree,A few times a month,1-2 days a week,Everyday,Agree,Once a month or less,"I believe so, but I haven't been tested for it.",Disagree,Never,Agree,Agree,Never,Prefer not to answer,Never,Agree,Disagree,,Disagree,W1,Never,Disagree,Never,Agree,,Middle,0,1,0,0,0,0,0,0.0,No Change,No Change,Never
Strongly disagree,Somewhat disagree,3,Agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192285,38.0,Once a month or less,A few times a month,Somewhat agree,Agree,Once a month or less,Male,Disagree,Agree,98208.0,Somewhat disagree,Never,Strongly disagree,"Employed, Full time",Strongly disagree,Strongly agree,Never,A few times a month,1-2 days a week,Somewhat disagree,Strongly agree,2020/06/30 11:45:33 PM MDT,Somewhat agree,Strongly disagree,Once a month or less,Agree,Never,Once a month or less,Once a month or less,Agree,Never,"I don't believe so, but I haven't been tested for it.",Somewhat disagree,3-4 days a week,Strongly agree,Disagree,Never,"$75,000 to $99,999",Once a month or less,Somewhat agree,Somewhat agree,"No, none of the above",Somewhat agree,W1,A few times a month,Strongly disagree,Everyday,Agree,87499.5,Middle,0,1,0,5,4,0,2,3.5,Decreased WFH,Increased Transit,A few times a month
